messages,all_authors,timestamps,money
"“Tell the world Johnny. Tell them, I Johnny Depp, a man, am a victim too of domestic violence and see who will believe or side with you.” -Amber Heard. She is NOT a victim. ",Lady Love,2:41,0
Whoever said they would also say that in a text needs to be on a watchlist lol ,BPark,2:42,0
I turned off the sound at this point....,Terry Oma,2:42,0
just mute guys,official_pingo,2:44,0
JUSTICE FOR AMBER :raised_fist::raised_fist::raised_fist::raised_fist::raised_fist::raised_fist:,gokeep,2:44,0
Wonder if Angelina Jolie is going to testify,Pmz,2:46,0
is it starting at 10am???,JessiieT,2:48,0
The last guy was good. It’s obvious how heard’s lawyers are trying to twist it,K T,2:49,0
"Literally TURN OF UR VOLUME AND STOP COMPLAINING, it’s annoying ",Maria Osornio,2:53,0
Im filing an amica brief for ,Ernestina Clementine,2:55,0
yes @ moon dance!,JennBoogie613,2:57,0
beep.,lira teeling,2:59,0
justice for Johnny Depp :green_heart:,kc,3:00,0
Just imagine this circus is predicted to go on for 6 WEEKS !! no one really will be the winner in this imho ,jStevieO,3:02,0
🇩🇪represent,sm0ki,3:02,0
:upside_down_face::upside_down_face::upside_down_face:,Jackie Mendez,3:03,0
justice for Johnny,Marilyn Singh,3:03,0
Totally agree @sxvnkiss huh,Chanley,3:03,0
bppark... he was doing an art thing for Johnny. it's called a friend... go get one,Crayon Writer,3:03,0
This is the best song to hit my ears yet. ,Brooke B,3:04,0
justice for Johnny! :raising_hands::raising_hands::raising_hands::folded_hands::red_heart::red_heart::red_heart::red_heart::red_heart::clapping_hands::clapping_hands:🇸🇪,luluyrufus,3:05,0
what time does this start ?,jkhappy1234,3:08,0
"Meanwhile,Amber is applying arnica",darkshine,3:10,0
omg my brain,Suzy *,3:10,0
Bring Wynona to the stand!,Chris Price,3:10,0
Judy Wang who is Johnson? ,Sussan Fordham,3:10,0
Johnny better win this,GamerMBV13,3:11,0
"Oh, happy day! Halleluja, halleluja! If you are for Johnny then comment a green heart:green_heart:",SuperIMpulsiV,3:11,0
EVERYONE SPAM ——> J D,Vsync,3:11,0
I also don’t believe JD’s lawyers would have brought such a high level case to court without knowing he had a great case. Jmo,Sclady48,3:12,0
where is everyone watching from? I am watching from London UK,Terry Oma,3:14,0
what I's this awesome soundtrack anyone for a name for it such a bop,Cassie Dean,3:15,0
that AH on the floor drowning in her liessss IN THE BACK OF A HONDA CIVIC LOL ,Faye T,3:16,0
who's the witness today Elon musk ?,Gabriel Ng,3:17,0
when is it starting guys,JessiieT,3:19,0
Johnny :orange_heart::raised_fist:,Liya Rem,3:20,0
here for johnny,Fatima Peralta,3:22,0
TEAM DEPP :hundred_points:🇺🇲,RedNhappy,3:23,0
What city in VIRGINIA is this taking place?,Sherry A.,3:24,0
JD,Shelby Johnston-Fitch,3:24,0
what are they gonna be talking about today ,Smartyzs,3:25,0
That sound you can hear is the courts BS detector going off as Amber entered the court building ,KD _C,3:25,0
J D,Charlie,3:25,0
@Chris what does Angelina Jolie know?,Sassy but Classy,3:27,0
Did yall listen to all the recordings? I'm watching a lady named SEC. She had a lit of videos on JD and AH,SweetDreamz,3:27,0
Can’t wait to see the TikTok memes about About (Amica Cream),Soleil Deas,3:30,0
J D,Switch420,3:31,0
I think they're both nuts!,Jackie Farley,3:31,0
Bring Elon musk ,jessica van schalkwyk,3:34,0
COME ON JOHN CHRISTOFER DEPP THE SECOND,ok and??,3:34,0
beep,Keira Pye,3:34,0
JD,kc,3:34,0
dogs are going wild with that sound :rolling_on_the_floor_laughing:,Lydia Eva Domsitz,3:34,0
"@Chris Sallinger one thing u gotta know, CELEBRATIES WON'T TESTIFY, it will ruinntheir career",sxvnkiss huh,3:34,0
stop that noise please!,Aimee McPeters,3:35,0
not going to lie i thought my pc was buggin,lira teeling,3:36,0
Hi everybody! Great teeth and Amica cream ^^,Helelooo,3:37,0
Elon musk has already admitted that he will not appear,W33VICKZ,3:37,0
"Sean Bett (JD's security), Gina Deuters (JD's friend), Kate James (AH's former Manager) and JD's and AH's Marriage Counselor are taking stand today.",Akshita Rai,3:38,0
what time?,jkhappy1234,3:39,0
JOHHNNYYYYYYYYYYYYY,jerney4974,3:40,0
@paul nothing lovable on that evil person ,Talar Ohanes,3:40,0
johnnyyyyyyyyyyyyyyyyyyyyyyyy,Valentanie Fantasy,3:40,0
hello everybody,carmen ruiz,3:41,0
FAIRFAX,Clair-Marie,3:41,0
"Crayon Writer he lives rent free in his house for many years, it’s called a brain - use it? ",BPark,3:41,0
watching from southern Ireland,C M,3:41,0
Just sent for Amber? Yes. She s,Pmz,3:45,0
we love Johnny:goodvibes:,Marilyn Singh,3:45,0
J D,Vsync,3:46,0
Popcorn anyone ??,Gillian ,3:46,0
watching from India :red_heart::ok_hand:,The Thinker,3:46,0
JOHNNY IS THE REAL VICTIM FIGHT ME,K T,3:46,0
#JusticeForOurEars,dsadasdas,3:47,0
Amica cream:face_with_tears_of_joy:,Chanley,3:47,0
"@darkshine, LOL!:face_with_tears_of_joy:",HeyKB,3:47,0
"Fairfax, Va",Jennifer Savage,3:48,0
JD,Faye T,3:48,0
Walsall i,Cassie Dean,3:48,0
:check_mark_button:ISSAC DESERVES FREE RENT FOR LIVE:check_mark_button:,ROAD MAN,3:51,0
okay speakers off can someone just say when the sound is good again,Suzy *,3:51,0
Arnica the number one googled salve lol,alyssa_j,3:51,0
"I’m watching from texas :black_heart:, justice for johnny he’s a sweet soul 🥹",Draya Marie,3:53,0
Respect for isaac ,Aaisha Ditta,3:55,0
CRAP I HAVE TO GO THE SCHOOL TODAY.. MIGHT BE SICK :rolling_on_the_floor_laughing:,M Beau,3:55,0
SAY NO TO HONDA CIVICS!!!! JUSTICE FOR AMBER :raised_fist::raised_fist::raised_fist::raised_fist::raised_fist::raised_fist:,gokeep,3:55,0
"Please tell me this this isn't going to be ""Yes"" and ""It's grainy"" with the video again for another hour.",Natasha Richardson,3:55,0
audio still beeping ,Shelby Johnston-Fitch,3:56,0
Some people in here are really sucking up to finger slicer ,LuchaNinja7,3:58,0
Just mute the volume it will get rid of the beeping ,Nessa,3:59,0
BEWARE : TN State Troopers are crooked.,Jenilee,3:59,0
IR STARTS IN 24 MINS. Calm down guys,Avian98X,4:02,0
loveeeeeeee u johnny ,MD G,4:04,0
will some other people testify today?,Terry Oma,4:04,0
Good morning fellow trial watchers from Virginia ,Annalee Finch,4:05,0
JD,Di Di,4:06,0
3 hours later........,Jackie Mendez,4:07,0
ELON IS IRRELEVANT. HE QUICKLY SAW WHO SHE WAS AND BROKE UP WITH HER,Begitte Olsen,4:11,0
Great teeth and amica cream!!! :loudly_crying_face::face_with_tears_of_joy:,audelia flowers,4:13,0
Trumpy Bear for Johnny.,Popsmarts,4:13,0
:diya_lamp:Lets wrap this up and let Johnny and his family go about their lives...,dodgingbullets,4:14,0
hi from Australia,Belinda Stewart,4:14,0
IM ON JOHN CHRISTOFER DEPP THE SECONDS SIDE,ok and??,4:16,0
As soon as she threw the trash on the floor of the elevator everyone knew she was guilty. Gross. ,Darien Cabral,4:17,0
TEAM AMBER ,BPark,4:19,0
24 minutes ????,Laura B,4:19,0
Who wants any snacks? :pizza::popcorn::popcorn:,Maria Osornio,4:22,0
It starts At 10 Am Correct ,jkhappy1234,4:22,0
JOHNNNYYYY,Faye T,4:22,0
does anyone else here the really loud monotone beep. its giving me a huge migraine,Ainsley Dean,4:23,0
yeah elon is too smart for amber,Suzy *,4:24,0
It is terrible to see Johnny so sad and broken. She deliberately set out to destroy him and has damaged his and children’s lives …for money,Michele,4:24,0
Justice for Johnny Depp :raised_fist::raised_fist::raised_fist::raised_fist::raised_fist:,Liya Rem,4:26,0
